strategy,fold,MAE,RMSE,R2,bias,pred_actual_mean_ratio,scale,year1_scale,year2_scale,window,fold_multiplier,w
horizon_scale,D,995161.6679506848,1268149.2330568722,0.42597810663895064,-921266.1578794519,0.7125347437704352,,0.8,0.8,,,
horizon_scale,C,962355.6576974406,1277866.3997312086,0.4753197132083561,-841116.3038967092,0.7356773654127268,,0.8,0.85,,,
horizon_scale,D,995161.6679506848,1268149.2330568722,0.42597810663895064,-921266.1578794519,0.7125347437704352,,0.8,0.85,,,
horizon_scale,C,929411.8934606947,1235423.5974906576,0.5095941635039127,-790063.3879725776,0.7517208556862027,,0.8,0.9,,,
horizon_scale,D,995161.6679506848,1268149.2330568722,0.42597810663895064,-921266.1578794519,0.7125347437704352,,0.8,0.9,,,
horizon_scale,C,903137.3325402194,1200420.5969549809,0.5369896253140638,-739010.4720484461,0.7677643459596788,,0.8,0.95,,,
horizon_scale,D,995161.6679506848,1268149.2330568722,0.42597810663895064,-921266.1578794519,0.7125347437704352,,0.8,0.95,,,
horizon_scale,C,881965.7791151736,1173523.3140560028,0.5575060986388092,-687957.5561243143,0.7838078362331549,,0.8,1.0,,,
horizon_scale,D,995161.6679506848,1268149.2330568722,0.42597810663895064,-921266.1578794519,0.7125347437704352,,0.8,1.0,,,
horizon_scale,C,1034272.4682349178,1400894.3711375971,0.36942808193627963,-902203.6883007314,0.7164805215150254,,0.85,0.7,,,
horizon_scale,D,893573.6624219179,1156774.677579167,0.5223769514450167,-778545.8352657536,0.7570681652560872,,0.85,0.7,,,
horizon_scale,C,989298.7571608776,1338508.9931386523,0.42433949768805324,-851150.7723765996,0.7325240117885014,,0.85,0.75,,,
horizon_scale,D,893573.6624219179,1156774.677579167,0.5223769514450167,-778545.8352657536,0.7570681652560872,,0.85,0.75,,,
horizon_scale,C,948739.1169314443,1281451.0622818696,0.47237192495442104,-800097.8564524681,0.7485675020619775,,0.85,0.8,,,
horizon_scale,D,893573.6624219179,1156774.677579167,0.5223769514450167,-778545.8352657536,0.7570681652560872,,0.85,0.8,,,
horizon_scale,C,911690.7476489944,1230461.9214001917,0.5135253637353834,-749044.9405283364,0.7646109923354536,,0.85,0.85,,,
horizon_scale,D,893573.6624219179,1156774.677579167,0.5223769514450167,-778545.8352657536,0.7570681652560872,,0.85,0.85,,,
horizon_scale,C,878746.9834122485,1186324.3526500706,0.5477998140309399,-697992.0246042048,0.7806544826089297,,0.85,0.9,,,
horizon_scale,D,893573.6624219179,1156774.677579167,0.5223769514450167,-778545.8352657536,0.7570681652560872,,0.85,0.9,,,
horizon_scale,C,852472.4224917734,1149827.6453658624,0.575195275841091,-646939.1086800733,0.7966979728824058,,0.85,0.95,,,
horizon_scale,D,893573.6624219179,1156774.677579167,0.5223769514450167,-778545.8352657536,0.7570681652560872,,0.85,0.95,,,
